lat_a,lon_a,hight_a(m),lat_b,lon_b,hight_b(m),name
31.440927,35.006228,31,32.49417,35.082359,8000,ain shemer- arara
32.49417,35.082359,8000,32.5729,35.191857,11000,arara-megido
32.5729,35.191857,11000,32.568241,35.244464,15000,megido- nir yafe
32.568241,35.244464,15000,32.686568,35.4197,15000,nir yafe-kfar tavor
32.686568,35.4197,15000,32.710234,35.577496,15000,kfar tavor- dgania
32.710234,35.577496,15000,32.838002,35.499617,15000,dgania-migdal
32.838002,35.499617,15000,32.980825,35.572013,16000,migdal- rosh pina
